no,code,country,gdp,lifespan,literacy,population
1,AFG,Afghanistan,20650,60,0.431,26556800
2,ALB,Albania,12800,74,0.98,2893005
3,DZA,Algeria,215700,73.12,0.918,39500000
4,AND,Andorra,4800,84.2,1,76949
5,AGO,Angola,124000,52,0.826,24383301
6,ATG,Antigua and Barbuda,1220,75.8,0.984,86295
7,ARG,Argentina,484600,76,0.978,43131966
8,ARM,Armenia,10400,74.4,0.997,3013900
9,AUS,Australia,1488000,83,0.96,23780000
10,AUT,Austria,417900,81.5,0.98,8579747
11,AZE,Azerbaijan,76010,71.5,0.999,9593000
12,BHR,Bahrain,28360,77,0.961,1316500
13,BGD,Bangladesh,140200,70,0.62,158286000
14,BRB,Barbados,4262,78.5,0.997,285000
15,BLR,Belarus,69240,72.5,0.998,9481000
16,BEL,Belgium,507400,81,0.99,11239755
17,BLZ,Belize,1637,77,0.767,358899
18,BEN,Benin,8359,59,0.552,10315244
19,BTN,Bhutan,2133,70.8,0.65,759100
20,BIH,Bosnia and Herzegovina,18870,76,0.998,3791622
21,BWA,Botswana,15530,66,0.846,2024904
22,BRA,Brazil,2190000,76.2,0.958,204129000
23,BGR,Bulgaria,53700,74.5,0.987,7245677
24,BFA,Burkina Faso,12130,56.5,0.367,18450494
25,BDI,Burundi,2676,53,0.729,9823827
26,KHM,Cambodia,15640,66,0.828,15405157
27,CMR,Cameroon,27880,61.5,0.783,20386799
28,CAN,Canada,1825000,82.5,0.99,35702707
29,CAF,Central African Republic,2050,48.5,0.696,4803000
30,TCD,Chad,13590,51,0.456,13606000
31,CHL,Chile,291700,79.5,0.986,18006407
32,CHN,China,9330000,76,0.975,1369140000
33,COL,Colombia,369200,74.6,0.935,48078000
34,CRI,Costa Rica,48510,79.8,0.96,4773130
35,HRV,Croatia,59140,77.5,0.994,4267558
36,CUB,Cuba,72300,79.4,0.998,11210064
37,CYP,Cyprus,21780,81.2,0.993,858000
38,CZE,Czech Republic,194800,78,0.99,10538275
39,DNK,Denmark,324300,79.5,0.99,5659715
40,DJI,Djibouti,1459,61,0.7,900000
41,DMA,Dominica,495,77.5,0.94,71293
42,DOM,Dominican Republic,59270,73.2,0.9,10378267
43,ECU,Ecuador,91410,76,0.931,15459000
44,EGY,Egypt,262000,73.2,0.817,88311000
45,SLV,El Salvador,24670,74.6,0.871,6401240
46,GNQ,Equatorial Guinea,17080,54,0.971,1430000
47,ERI,Eritrea,3438,61.5,0.8,6738000
48,EST,Estonia,24280,76.1,0.998,1312252
49,ETH,Ethiopia,47340,60.5,0.491,90076012
50,FJI,Fiji,4218,73,0.955,859178
51,FIN,Finland,259600,81,1,5477382
52,FRA,France,2739000,82.3,0.99,66109000
53,GAB,Gabon,19970,64,0.919,1751000
54,DEU,Germany,3593000,81,0.99,80925000
55,GHA,Ghana,45550,66,0.783,27043093
56,GRC,Greece,243300,81,0.988,10992589
57,GRD,Grenada,811,76.5,0.96,103328
58,GTM,Guatemala,53900,71.5,0.834,15806675
59,GIN,Guinea,6544,55,0.52,10628972
60,GUY,Guyana,3020,70.5,0.92,746900
61,HTI,Haiti,8287,63,0.548,10911819
62,HND,Honduras,18880,74,0.798,8725111
63,HKG,Hong Kong,289100,83.8,0.969,7264100
64,HUN,Hungary,130600,75,0.992,9849000
65,ISL,Iceland,14590,83.3,0.99,329100
66,IND,India,1670000,65,0.821,1269545000
67,IDN,Indonesia,867500,72,0.97,255461700
68,IRQ,Iraq,221800,68.5,0.89,36004552
69,ISR,Israel,272700,82.1,0.985,8320100
70,ITA,Italy,2068000,83.1,0.992,60788845
71,JAM,Jamaica,14390,74.8,0.841,2717991
72,JPN,Japan,5007000,84.6,0.99,126910000
73,JOR,Jordan,34080,74.6,0.966,6713736
74,KAZ,Kazakhstan,224900,68,0.998,17377800
75,KEN,Kenya,55206,60,0.906,46749000
76,KIR,Kiribati,173,68,0.92,106461
77,KWT,Kuwait,179500,78.2,0.944,3268431
78,KGZ,Kyrgyzstan,7234,69,0.993,5895100
79,LVA,Latvia,30380,74.5,0.998,1986700
80,LBN,Lebanon,43490,80.5,0.934,4104000
